label,type,Tags,Description,Twitter Followers,FB Followers,FB Likes,Number of Employees,Funding (2015),Funding (2016),Funding (2017),Three-Year-Funding,Social Reach,Est. People Impacted,Scale,URL,Image,Interdependence,Polarization,Holistic Knowledge,Cultural Isolation,Mindset,Behavior,
Generation Citizen ,Education,Education | Democracy ,"GENERATION CITIZEN (GC) WORKS TO ENSURE THAT EVERY STUDENT IN THE UNITED STATES RECEIVES AN EFFECTIVE ACTION CIVICS EDUCATION, WHICH PROVIDES THEM WITH THE KNOWLEDGE AND SKILLS NECESSARY TO PARTICIPATE IN OUR DEMOCRACY AS ACTIVE CITIZENS.",4428,2503,2502,50,937501,1347998,2505404,4790903,9433,10000,,https://generationcitizen.org/,https://generationcitizen.org/wp-content/uploads/2016/03/Untitled-1.png,,,,,,,
Heterodox Academy,Education,Political diversity ,"OpenMind is a free, interactive, psychology-based platform designed to foster intellectual humility, empathy, and mutual understanding across a variety of differences.",20486,8071,7463,10,,,,0,36020,40000,,https://openmindplatform.org/,https://openmindplatform.org/wp-content/uploads/2018/06/OpenMind_smaller.png,,,,,,,
Interfaith Youth Core,Religion,Religion | Interfaith ,"A national non-profit organization working towards an America where people of different faiths, worldviews, and traditions can bridge differences and find common values to build a shared life together.",11877,12690,13068,50,4579695,12773463,6562294,23915452,37635,40000,,https://www.ifyc.org/,https://scontent.fmnl3-2.fna.fbcdn.net/v/t1.0-9/21192868_10155703574624553_4662285167238131078_n.png?_nc_cat=0&oh=335c6eca375af6a59cb5c336146ecd1f&oe=5BD32A32,,,,,,,
Narrative4,Community,Political diversity | Mutual understanding ,"Our work - rooted in the N4 story exchange - equips people to use their stories to build empathy, shatter stereotypes, break down barriers, and - ultimately - make the world a better place.",2443,3698,3755,10,,,,0,9896,10000,,https://narrative4.com/,https://lh3.googleusercontent.com/uUlaY3QlFjUz0A2YfPQGWBanDG7hgBmxkMpw2X3zlu_RtwOnrqnx_qLZm5rXARh_6u0J-A=s170,,,,,,,
National Institute for Civil Discourse,Politics,Gun violence | Dialogue,"The National Institute for Civil Discourse integrates research, practice and policy to support and engage:   Elected officials who are capable of working to solve the big issues facing our country. A public that demands civil discourse as well as government that works in the best interests of the country as a whole.  A media that informs citizens in a fair and responsible way.",20439,15763,15957,,,,,0,52159,31720,,http://nicd.arizona.edu/,https://scontent.fmnl3-2.fna.fbcdn.net/v/t1.0-9/1012663_541800299189348_908363269_n.jpg?_nc_cat=0&oh=21060c133932d17d3629529182132750&oe=5BDD6465,,,,,,,
One America Movement,Service,Racial justice ,"The One America Movement’s mission is to build bridges and solve problems by bringing Americans together across racial, religious, political and geographic divides to address pressing social problems – poverty, opioids, racial tension and more.",8232,11429,11536,,,,,0,31197,22965,,http://werepair.org/oneamerica/,https://werepair.org/wp-content/uploads/2017/08/logo1-1.png,,,,,,,
People's supper,Community,Dialogue ,"We aim to repair the breach in our interpersonal relationships across political, ideological, and identity differences, leading to more civil discourse.",832,2093,1998,,,,,0,4923,4091,,https://thepeoplessupper.org/,https://static1.squarespace.com/static/595e51dbd1758e528030285b/t/595e81929f74566aa7201b58/1531860428790/?format=1500w,,,,,,,
Resetting the table,Community,Political and community building ,Resetting the Table is dedicated to building meaningful dialogue and deliberation across political and communal divides.,80,1796,1708,,,,,0,3584,3504,,http://www.resettingthetable.org/,http://www.resettingthetable.org/wp-content/uploads/2017/12/logo.png,,,,,,,
Seeds of Peace,Education,Leadership development ,We inspire and cultivate new generations of global leaders in communities divided by conflict.,6.503,210000,211000,50,5917346,6274013,5765340,17956699,421006.503,421050,,https://www.seedsofpeace.org/,https://www.seedsofpeace.org/wp-content/uploads/2016/02/new-logo.png,,,,,,,
Sisterhood of Salaam Shalom,Interfaith,Building bridges | Anti-prejudice ,"We grow relationships between Muslim and Jewish women to build bridges and fight hate, negative stereotyping and prejudice.",998,3276,3163,10,39796,83397,118872,242065,7437,6449,,https://sosspeace.org/,http://www.mejditours.com/wp-content/uploads/2015/03/SisterhoodofSD25aR03aP13ZL-Arthur3a.jpg,,,,,,,
Spaceship Media,Media,Journalism ,"Reducing polarization, building communities, restoring trust in media.",660,866,829,10,,,,0,2355,1705,,http://spaceshipmedia.org/the-many,http://spaceshipmedia.org/wp-content/uploads/2018/01/Kaylee_LOGO-FLAT-COLOR-1-e1516500688272.png,,,,,,,
StoryCorps,Media,Storytelling ,StoryCorps’ mission is to preserve and share humanity’s stories in order to build connections between people and create a more just and compassionate world.,64188,512297,467766,200,,,600000,600000,1044251,980263,,https://storycorps.org/,https://cvlassets.s3.amazonaws.com/download-3.png,,,,,,,
Streetlaw,Education,Law | Justice,"Street Law, Inc. advances justice through classroom and community education programs that empower people with the legal and civic knowledge, skills, and confidence to bring about positive change for themselves and others.",1579,1785,1784,50,,,,0,5148,3619,,https://www.streetlaw.org/,http://streetlaw.org/Custom/Core/Images/logo-text-b.svg,,,,,,,
Village Square,Politics,Politics ,"We are dedicated to maintaining factual accuracy in civic and political debate by growing civil discourse on divisive issues, and recalling the history and principles at the foundation of our democracy.",1138,2386,2508,10,,,,0,6032,4904,,https://tlh.villagesquare.us/,https://tlh.villagesquare.us/img/Village-Square-website-header.png,,,,,,,
Welcoming America,Community,Immigration ,Welcoming America provides the roadmap and support they need to become more inclusive toward immigrants and all residents.,5756,9719,9816,50,2180481,3901830,2937508,9019819,25291,19585,,https://www.welcomingamerica.org/,https://pbs.twimg.com/profile_images/918888718139666432/M4QIbWbL_400x400.jpg,,,,,,,
Maynard Institute,Media,Journalism ,"The Robert C. Maynard Institute for Journalism Education is the nation’s oldest organization dedicated to helping the news media accurately portray all segments of society, particularly those often overlooked, such as communities of color.",1337,2433,2454,,622357,556491,510849,1689697,6224,4887,,https://www.mije.org/2017/01/16/examining-fault-lines/,https://www.mije.org/wp-content/uploads/2018/03/MIJE_Logo.png,,,,,,,
Troll Busters,Media,Social media | Journalism,"We are Team TrollBusters. When you spot online violence, online abuse or other troll behavior, send an S.O.S. and we will be your first responders online, supporting you with:  personal endorsements just-in-time coaching and reputation repair services",654,335,333,,,,,0,1322,668,,http://www.troll-busters.com/,http://www.troll-busters.com/img/tb-logo.png,,,,,,,
Gather,Media,Journalism,"The mission: make journalism more responsive to the public’s needs and more inclusive of the public’s voices and diversity, by helping journalists, educators, and students who share these values find each other, find resources and best practices, and find support and mentorship.",43,,,10,368966,933365,1208358,2510689,43,10,,https://www.letsgather.in/,https://static1.squarespace.com/static/58e0850ce3df2870d8092bd5/t/59d074a6d2b8576610391837/1524762609276/?format=1500w,,,,,,,
Journalism that Matters,Media,Journalism | Inclusion ,"Journalism That Matters fosters inclusive civic communications so that people, communities and democracy thrive.",1065,1155,1156,10,,106149,111387,217536,3376,2321,,http://journalismthatmatters.org/,http://socialcapitalreview.org/wp-content/uploads/2010/07/jtm-logo1-web1.jpg,,,,,,,
Color of Change,Media,Racial justice ,We help people respond effectively to injustice in the world around us.,116743,291201,290614,200,,,,0,698558,582015,,https://colorofchange.org/,https://2g39ky05b5-flywheel.netdna-ssl.com/wp-content/themes/colorofchangecom/images/logo.png,,,,,,,
Trust Project,Media,Journalism | Transparency ,"The Trust Project, a consortium of top news companies led by award-winning journalist Sally Lehrman, is developing transparency standards that help you easily assess the quality and credibility of journalism.",982,380,351,,,,,0,1713,731,,https://thetrustproject.org/,https://secureservercdn.net/3cb.7b0.godaddywp.com/wp-content/uploads/2017/11/trust-project-header-logo.png,,,,,,,
Coral Project,Media,Community building | Journalism ,The Coral Project brings journalists and the communities they serve closer together through open-source tools and strategies.,6496,,,50,,,,0,6496,50,,https://coralproject.net/,https://coralproject.net/wp-content/uploads/2018/01/coral_logo_icon_white-49x50.png,,,,,,,
Hearken,Media,Journalism ,Our company helps news organizations listen to the public as a story develops from pitch to publication,,1067,1056,10,,,750000,750000,2123,2133,,https://www.wearehearken.com/,https://static1.squarespace.com/static/54f112e6e4b0b75ae5535049/t/556d2418e4b0e8f915061baa/1531147425302/?format=1500w,,,,,,,
GroundSourced,Media,Connection building ,"GroundSource helps you reach audiences and communities where they prefer to communicate: on their phones, in a conversation.",1329,254,261,10,,,,0,1844,525,,https://www.groundsource.co/,https://static1.squarespace.com/static/5a7103d96957dafbfdbc2537/t/5a7113f4e2c483d096139425/1528747622156/?format=1500w,,,,,,,
Listening Post,Community,Journalism ,"The Listening Post Collective offers resources, tools, peer-to-peer support and a shared learning space for journalists, newsroom leaders and community groups looking to revitalize their local news and information ecosystems.",370,,,10,,,,0,370,10,,https://www.listeningpostcollective.org/,,,,,,,,
Jefferson Center,Community,Democracy | Community building ,"Our mission is to strengthen democracy by advancing informed, citizen-developed solutions to challenging public issues.",1127,392,390,10,1500134,1539853,1525579,4565566,1909,792,,https://jefferson-center.org/,https://jefferson-center.org/wp-content/uploads/2016/01/Filler-Logo.png,,,,,,,
Outlier Media,Community,Journalism ,"Outlier Media is a Detroit-based service journalism organization that identifies, reports, and delivers valuable information to empower residents to hold landlords, municipal government and elected officials accountable for longstanding problems in the housing and utilities markets.",344,96,91,10,,,,0,531,197,,https://outliermedia.org/,https://scontent.fmnl3-2.fna.fbcdn.net/v/t1.0-9/18527967_1852191935102630_5725523985819684146_n.jpg?_nc_cat=0&oh=00c717034073891817b90f3161107351&oe=5BC68777,,,,,,,
City Bureau,Community,Journalism | Community building ,"Bring journalists and community members together in a collaborative spirit to produce equitable media coverage, encourage civic participation and hold powerful forces to account.",5759,2467,2371,,,,,0,10597,4838,,https://www.citybureau.org/,https://www.ilhumanities.org/app/uploads/2016/03/city-bureau-logo.png,,,,,,,
Youth Wire,Community,Youth | Journalism,"YouthWire provides media training to disconnected youth, amplifies youth voices to influence policy at local and statewide levels through digital and print publications, and encourages civic engagement through storytellling.",3518,,,,,,,0,3518,0,,https://communitypartners.org/project/youthwire,https://communitypartners.org/sites/default/files/CP-Logo.png,,,,,,,
100 Days in Appalachia,Community,Journalism ,"Weary of the influx of bus tours and parachuting journalists seeking insights into rural America, we launched 100 Days to push back on the national narratives that had reduced our region to a handful of narrow stories.",2456,7570,7185,50,,,150000,150000,17211,14805,,https://www.100daysinappalachia.com/,https://www.100daysinappalachia.com/wp-content/uploads/2017/07/100DayLogoHighResReverse-new1.png,,,,,,,
Solutions Journalism Network,Media,Journalism ,to spread the practice of solutions journalism: rigorous and compelling reporting about responses to social problems,15000,5840,5730,50,2497754,2774106,4930256,10202116,26570,11620,,https://www.solutionsjournalism.org/,https://res-3.cloudinary.com/solutionsjournalism/image/asset/sjn_logo_white-5fd9715c3d5a244afcc75d8f5d67d4a5.png,,,,,,,
Community Listening and Engagement Fund,Community,Journalism ,,,392,380,,,,,0,772,772,,https://www.lenfestinstitute.org/community-listening-engagement-fund/,https://www.lenfestinstitute.org/wp-content/uploads/2017/01/lifj_logo_tag.svg,,,,,,,
Fetzer Institute,Community,Community building ,,60400,277331,279301,200,29016346,,,,617032,,,http://fetzer.org/work/democracy,http://fetzer.org/sites/all/themes/fetzer/img/fetzer-logo-2016.png,,,,,,,
Coding it Forward,Digital Equity,Technology | Social change ,Empowering the next generation of technology leaders to create social change.,841,496,486,10,?,?,?,,1823,,,https://www.codingitforward.com/,https://static1.squarespace.com/static/59539f22e6f2e181ffc682ef/t/597ea19837c58179fe244bac/1531621598444/?format=1500w,,,,,,,
GirlsWhoCode,Digital Equity,Technology | Coding,"Girls Who Code was founded with a single mission:
to close the gender gap in technology",256000,209588,207838,50,1607025,7504733,15450330,24562088,673426,5000,,https://girlswhocode.com/,https://3zjc852t4swp1lmezl171oga-wpengine.netdna-ssl.com/wp-content/themes/girlswhocode/images/header-logo.png,,,,,,,
Data4Democracy,Digital Equity,Technology | Democracy ,,5812,242,218,10,?,?,?,,6272,5000,,http://datafordemocracy.org/,https://data4democracy.github.io/datafordemocracy.org/images/data-dem-logo-stacked-grey.png,,,,,,,
Textizen,Community,Technology ,,26294,5162,5245,,?,?,?,,36701,,,https://www.textizen.com/,https://www.textizen.com/assets/interactive_text_logo-dffe79bf027c6ea7d86632d7f399dbd3a0076160f89fb3098372c941e967b339.png,,,,,,,
Center for Civic Media at Emerson College,Civics,Arts | Media | Engagement ,,22600,29732,30218,,?,?,?,,82550,,,https://www.emerson.edu/academics/civic-media-art-practice-ma,https://www.emerson.edu/sites/all/themes/emerson_bootstrap/build/img/footerLogo.png,,,,,,,
Code for America,Civics,Service Design  | Civics  | Technology  | Open Data,A national nonprofit dedicated to applying the principles and practices of modern technology and service design to the machinery of government.,49616,15384,15588,,11488691,10448960,12877285,34814936,80588,500000,,https://www.codeforamerica.org/,https://www.codeforamerica.org/resources/images/cfa-logo-color.png,,,,,,,
Allied Media Projects,Media,Arts | Social change | Media | Technology ,,6.361,4897,4891,,1215754,2278161,2693704,6187619,9794.361,100000,,https://www.alliedmedia.org/,https://namleboard.files.wordpress.com/2014/05/allied.jpg,,,,,,,
The Racial Imaginary Institute,Community,Racial justice ,,519,,,,?,?,?,,519,500,,https://theracialimaginary.org/,https://theracialimaginary.org/wp-content/themes/trii/images/logo-full.svg,,,,,,,
Center for Collaborative Journalism,Media,Journalism | Collaboration,,11837,714,720,,?,?,?,,13271,12500,,https://ccj.mercer.edu/,https://ccj.mercer.edu/www/templates/assets/images/svg-mercer-wordmark/1/mercer-wordmark-white-with-drop-shadow.svg,,,,,,,
DataMade,Technology,Technology | Journalism ,,2324,,,,?,?,?,,2324,2000,,https://datamade.us/,https://datamade.us/images/datamade_logo.png,,,,,,,
Bitter Southerner,Media,Arts | Music,,28738,133224,134236,,?,?,?,,296198,300000,,http://bittersoutherner.com/,https://static1.squarespace.com/static/51bf0e35e4b010d205f86840/t/57bb407a6a49633024cef12d/1531857639395/?format=1500w,,,,,,,
Callifornia Community Foundation,Community,Philanthropy ,,5653,10687,10780,,?,?,?,,27120,25000,,https://www.calfund.org/,https://www.calfund.org/wp-content/themes/CalFund/assets/img/logo.svg,,,,,,,
Harvard Kennedy School Center for Democratic Governance and Innovation,Civics,Education ,,76986,88911,87521,,?,?,?,,253418,250000,,https://www.hks.harvard.edu/,https://www.hks.harvard.edu/sites/default/files/logos/logo_0.svg,,,,,,,
News Integrity Initiative at CUNY,Media,Journalism | Integrity ,,14216,515,448,,?,?,?,,15179,,,https://www.journalism.cuny.edu/centers/tow-knight-center-entrepreneurial-journalism/news-integrity-initiative/,https://www.journalism.cuny.edu/wp-content/themes/core/img/footer-logo.svg,,,,,,,
Cultivate the Karass,Community,Civics | Conflict Resolution,,101,114,111,,?,?,100000,100000,326,10000,,https://www.cultivatethekarass.org/,https://static1.squarespace.com/static/594ed59c36e5d3e0037912ae/t/5957b9922994ca6ac455b27b/1530806307349/?format=1500w,,,,,,,
Personal Democracy Media,Democracy,Democracy | Journalism,,,6147,6328,,?,?,?,,12475,500000,,http://www.personaldemocracy.com/,https://www.pdf-18.com/wp-content/uploads/2018/03/PDF18_logo_tag_145.png,,,,,,,
Sunlight Foundation,Democracy,Open Government  |  Transparency  |  Open Data  |  Cities,,74604,32714,33689,,4156761,4981802,327646,9466209,141007,100000,,https://sunlightfoundation.com/,https://cvlassets.s3.amazonaws.com/download-1.jpg,,,,,,,
Berkman Center,Democracy,Technology | Society ,,51949,20486,20558,,?,?,?,,92993,50000,,https://cyber.harvard.edu/,https://avatars0.githubusercontent.com/u/131221?s=200&v=4,,,,,,,
MIT Media,Media,Education | Journalism,,423114,242259,241358,,?,?,?,,906731,10000,,127.0.0.1:4100/divhacktivism/mitMedia,https://www.underconsideration.com/brandnew/archives/mit_media_lab_2014_logo_detail.png,,,,,,,
Open Contracting Partnership,Democracy,Government | Civil society | Democracy ,,6585,2154,2137,,?,?,?,,10876,1000,,https://www.open-contracting.org/,https://www.open-contracting.org/wp-content/uploads/2016/01/logo-open-contracting-partnership-04.png,,,,,,,
Data & Society,Technology,Technology ,,29384,4318,4128,,3415581,4896101,4775833,13087515,37830,10000,,https://datasociety.net/,https://datasociety.net/wp-content/themes/DSV2/imgs/common/data_society_2x.png,,,,,,,
Living Cities,Technology,Philanthropy | Community building ,,61.746,3376,3359,,?,?,?,,6796.746,100000,,https://www.livingcities.org/,https://living-cities-herokuapp-com.global.ssl.fastly.net/assets/logo-d342ebc45016d505c11c7b829023e3c7.png,,,,,,,
Irene W. and C.B. Pennington Foundation,Community,Philanthropy | Community building ,,450,,,,?,?,?,,450,100000,,http://www.penningtonfamilyfoundation.org/,http://www.penningtonfamilyfoundation.org/images/header_logo.png,,,,,,,
African Leadership Academy ,Education,Education | Leadership ,,10354,170296,170617,,?,?,?,,351267,5000,,http://www.africanleadershipacademy.org/about/our-model/,http://www.africanleadershipacademy.org/wp-content/uploads/2017/05/ALA-logo-RGB-Horizontal-01.png,,,,,,,
African Leadership University,Education,Education | Leadership,,6733,237891,237331,,?,?,?,,481955,5000,,https://www.alueducation.com/about/our-approach/,https://2frktj4383v21ir2ek2rt4fg-wpengine.netdna-ssl.com/wp-content/uploads/2016/02/alu_logo_original.png,,,,,,,
Bakers Without Borders,Community,Workforce development ,,470,5002,4997,,?,?,?,,10469,50000,,https://interculturalinnovation.org/intc3-bakers-without-borders/,https://lh3.googleusercontent.com/y8NwFhlKh1bFgR4f9Ir80_DhVJfogFyuzOpUm_CfnW7cB3rD0JHr4ZMuk85lJMX9p1FYVec=s140,,,,,,,
Comix4= Comics for Equality,Community,Anti-racism,,470,5002,4997,,?,?,?,,10469,5000,,https://interculturalinnovation.org/comix4-comics-equality/,https://lh3.googleusercontent.com/h8pBKoMhoFCi40E2o-zyi-rAAinSrZ9_tdOGQuvdL4GY_zdPq0aPjR2un5U0H4O_kAOPgw=s104,,,,,,,
Crack in the Wall,Intercultural,Journalism ,,470,5002,4997,,?,?,?,,10469,5000,,https://interculturalinnovation.org/crack-in-the-wall/,https://scontent.fmnl3-2.fna.fbcdn.net/v/t1.0-9/24129992_1445329165566230_5524248831183285753_n.png?_nc_cat=0&oh=bff51fd93b87369fa0c2f34d205a62fe&oe=5BDBC53B,,,,,,,
Encontrarse en la Diversidad,Intercultural,Philanthropy | Intercultural ,,470,6490,6545,,?,?,?,,13505,50000,,https://interculturalinnovation.org/encontrarse-en-la-diversidad-meeting-diversity/,https://interculturalinnovation.org/wp-content/themes/iia/img/logo.svg,,,,,,,
FilmAid,Media,Media | Film,,470,5002,4997,,2749577,2445477,3049400,8244454,10469,500000,,https://interculturalinnovation.org/filmaid/,https://interculturalinnovation.org/wp-content/themes/iia/img/logo.svg,,,,,,,
High Resolves,Intercultural,Education | Anti-racism,,1084,2573,2584,,?,?,?,,6241,500000,,http://www.highresolves.org/our-programs/,http://highresolves.org/wp-content/themes/hr/img/public/logo.svg,,,,,,,
Immigropoly,Technology,Innovation | Technology,,470,5002,4997,,?,?,?,,10469,50000,,https://interculturalinnovation.org/immigropoly/,https://socfest.hu/wp-content/uploads/2012/09/immigropolylogo.jpg,,,,,,,
Media Focus on Africa,Media,Technogy | Media,,4958,5563,5542,,?,?,?,,16063,500000,,http://www.mediafocusonafrica.org/content/about-media-focus-africa,http://www.careerpointsolutionslimited.com/wp-content/uploads/2018/04/media-focus.png,,,,,,,
MiVote,Democracy,Democracy | Voting,,5.225,1693,1643,,?,?,?,,3341.225,500000,,https://www.mivote.org.au/what_is,http://d3n8a8pro7vhmx.cloudfront.net/themes/570eccab6a21db2f1a000001/attachments/original/1480548120/MiVote-Logo_(2).svg,,,,,,,
P2P Foundation,Sharing Economy,Research,"researching, cataloging and advocating for the potential of P2P and Commons-based approaches to societal and consciousness change",13621,11309,11292,,0,0,0,0,36222,500000,,https://p2pfoundation.net/the-p2p-foundation/about-the-p2p-foundation,https://p2pfoundation.net/wp-content/uploads/2017/08/p2pf-logo-title.svg,,,,,,,
Play2Talk,Intercultural,Technology | Gaming,,470,3611,3602,,?,?,?,,7683,5000,,https://interculturalinnovation.org/play2talk/,https://scontent.fmnl3-2.fna.fbcdn.net/v/t1.0-9/24129992_1445329165566230_5524248831183285753_n.png?_nc_cat=0&oh=bff51fd93b87369fa0c2f34d205a62fe&oe=5BDBC53B,,,,,,,
Routes 2 Roots,Intercultural,Peace building | Intercultural ,,449,4096,4140,,?,?,?,,8685,5000,,https://interculturalinnovation.org/routes-2-roots/,,,,,,,,
Safarni,Intercultural,Education | Citizenship,,63,5002,4997,,?,?,?,,10062,50000,,https://interculturalinnovation.org/safarni/,https://www.opportunitiesforafricans.com/wp-content/uploads/2015/05/2015-unaoc-intercultural-innovation-award.png,,,,,,,
Singa,Intercultural,Immigration | Entrepreneurship,,470,5002,4997,,6103,6000,4918,17021,10469,1000000,,https://interculturalinnovation.org/singa/,https://www.a-star.edu.sg/Portals/101/logo.png?ver=2016-05-31-124048-423,,,,,,,
The Coexist Initiative,Intercultural,Education|Primary School|Refugees|Youth,promote primary school enrolment and retention of girls in the Daadab and Kakuma refugee camps,470,312,313,,?,?,?,,1095,5000,,https://interculturalinnovation.org/the-coexist-initiative/,http://sidebysidegender.org/wp-content/uploads/2017/10/Coexist-logo.jpg,,,,,,,
Transforming Pastoralist-Farmer Conflict in Nigeria,Intercultural,Agriculture | Peace building ,,470,5002,4997,,?,?,?,,10469,50000,,https://interculturalinnovation.org/transforming-pastoralist-farmer-conflict-nigeria/,,,,,,,,
Wapikoni Mobile,Intercultural,Technology | Intercultural ,,3831,16291,16572,,?,?,?,,36694,5000,,https://interculturalinnovation.org/wapikoni-mobile/,http://www.wapikoni.ca/Content/assets/images/wapikoni_logo.png,,,,,,,
Center for Civic Design,Democracy,Civic Design | Service Design | Public Engagement,"The Center for Civic Design works to ensure that voter experiences are positive with the assistance of design elements in voter information guides, ballots, poll worker materials, and other election forms.",2377,,,,,100000,100000,200000,2377,1000000,,http://civicdesign.com,https://cvlassets.s3.amazonaws.com/Jq8S-nLC.png,,,,,,,
Civic Hall,Democracy,Civics  | Technology,"Civic Hall is a year-round community center for civic tech and innovation that offers members a daily home for collaborative work, timely events, and actionable research.",,,,,,,,,,,,,https://cvlassets.s3.amazonaws.com/np_criticism_475444_FFFFFF.png,,,,,,,275000
